ID;Brand;Model;Width;Profile;Rim;Category;Price;Stock;Tag;Description;SpeedRating;LoadIndex;Image
1;Leao;NOVA-FORCE GP;175;70;13;autos;72000;9;Premium;Neumático Leao NOVA-FORCE GP de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;82;https://www.sunset.com.py/img/pattern/leao/48821/leao_nova-force-gp_01_s.jpg
2;Xbri;FASTWAY A5;175;75;13;autos;73600;8;;Neumático Xbri FASTWAY A5 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;84;https://www.sunset.com.py/img/pattern/xbri/105704/xbri_fastway-a5_01_s.jpg
3;Linglong;GREEN-MAX ECOTOURING;175;60;13;autos;74400;20;;Neumático Linglong GREEN-MAX ECOTOURING de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;77;https://www.sunset.com.py/img/pattern/linglong/35822/linglong_green-max-ecotouring_01_s.jpg
4;Linglong;GREEN-MAX ECOTOURING;175;70;13;autos;75200;10;;Neumático Linglong GREEN-MAX ECOTOURING de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;82;https://www.sunset.com.py/img/pattern/linglong/35822/linglong_green-max-ecotouring_01_s.jpg
5;Xbri;ECOLOGY;165;70;13;autos;77600;18;;Neumático Xbri ECOLOGY de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;79;https://www.sunset.com.py/img/pattern/xbri/51600/xbri_ecology_01_s.jpg
6;Xbri;FASTWAY C1;165;70;13;autos;77600;4;;Neumático Xbri FASTWAY C1 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;79;https://www.sunset.com.py/img/pattern/xbri/143753/xbri_fastway-c1_01_s.jpg
7;Linglong;GREEN-MAX ECOTOURING;165;70;13;autos;77600;17;;Neumático Linglong GREEN-MAX ECOTOURING de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;79;https://www.sunset.com.py/img/pattern/linglong/35822/linglong_green-max-ecotouring_01_s.jpg
8;Sunset;ENZO B2;175;70;13;autos;77600;27;;Neumático Sunset ENZO B2 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;82;https://www.sunset.com.py/img/pattern/sunset/127322/sunset_enzo-b2_01_s.jpg
9;Leao;NOVA-FORCE GP;175;65;14;autos;79200;15;Destacado;Neumático Leao NOVA-FORCE GP de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;82;https://www.sunset.com.py/img/pattern/leao/48821/leao_nova-force-gp_01_s.jpg
10;Xbri;FASTWAY W1;185;60;14;autos;80800;23;;Neumático Xbri FASTWAY W1 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;82;https://www.sunset.com.py/img/pattern/xbri/139726/xbri_fastway-w1_01_s.jpg
11;Xbri;ECOLOGY;165;60;14;autos;83200;26;;Neumático Xbri ECOLOGY de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;75;https://www.sunset.com.py/img/pattern/xbri/51600/xbri_ecology_01_s.jpg
12;Xbri;ECOLOGY;145;70;12;autos;84800;24;;Neumático Xbri ECOLOGY de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;69;https://www.sunset.com.py/img/pattern/xbri/51600/xbri_ecology_01_s.jpg
13;Xbri;FASTWAY F2;175;75;13;autos;84800;11;Oferta;Neumático Xbri FASTWAY F2 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;84;https://www.sunset.com.py/img/pattern/xbri/130901/xbri_fastway-f2_01_s.jpg
14;Linglong;GREEN-MAX HP010;185;55;14;autos;84800;22;;Neumático Linglong GREEN-MAX HP010 de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;H;80;https://www.sunset.com.py/img/pattern/linglong/31423/linglong_green-max-hp010_01_s.jpg
15;Xbri;FASTWAY;175;70;13;autos;86400;22;;Neumático Xbri FASTWAY de gran desempeño comercial, importado por APR Neumáticos. Diseñado bajo estándares premium para ofrecer el máximo confort de rodamiento y tracción segura en todo momento.;T;82;https://www.sunset.com.py/img/pattern/xbri/70080/xbri_fastway-a1_01_s.jpg
